단어,어간근사,총건수,문서수,통상수용_건수,통상수용_비율,통상수용_lift,견적반영_건수,견적반영_비율,견적반영_lift,계약·질의검토_건수,계약·질의검토_비율,계약·질의검토_lift,최대lift_라벨,최대lift,chi2_p,모델기여_통상수용,모델기여_견적반영,모델기여_계약·질의검토,모델기여_합
전자정부,전자정부,12,8,10,0.8333,1.628,1,0.0833,0.358,1,0.0833,0.326,통상수용,1.628,0.080912,0.1985,0.0,0.0,0.1985
부하,부하,13,7,1,0.0769,0.15,2,0.1538,0.661,10,0.7692,3.012,계약·질의검토,3.012,8e-05,0.0,0.0,0.1979,0.1979
개발방법론을,개발방법론,4,4,3,0.75,1.465,1,0.25,1.074,0,0.0,0.0,통상수용,1.465,0.478031,0.1977,0.0,0.0,0.1977
데이터가,데이터,13,5,4,0.3077,0.601,4,0.3077,1.322,5,0.3846,1.506,계약·질의검토,1.506,0.323875,0.0,0.1967,0.0,0.1967
사용,사용,108,10,46,0.4259,0.832,30,0.2778,1.194,32,0.2963,1.16,견적반영,1.194,0.162419,0.1965,0.0,0.0,0.1965
품질보증을,품질보증,6,5,4,0.6667,1.302,1,0.1667,0.716,1,0.1667,0.653,통상수용,1.302,0.747552,0.1953,0.0,0.0,0.1953
수립하여야,수립하여야,19,7,10,0.5263,1.028,3,0.1579,0.679,6,0.3158,1.236,계약·질의검토,1.236,0.686919,0.194,0.0,0.0,0.194
요구사항을,요구사항,28,9,20,0.7143,1.395,1,0.0357,0.153,7,0.25,0.979,통상수용,1.395,0.028323,0.1905,0.0,0.0,0.1905
연동,연동,68,9,16,0.2353,0.46,24,0.3529,1.517,28,0.4118,1.612,계약·질의검토,1.612,1.3e-05,0.0,0.0,0.1897,0.1897
개인정보영향평가,개인정보영향평,6,4,1,0.1667,0.326,0,0.0,0.0,5,0.8333,3.263,계약·질의검토,3.263,0.004728,0.0099,0.0,0.1795,0.1894
구조,구조,69,10,34,0.4928,0.963,24,0.3478,1.495,11,0.1594,0.624,견적반영,1.495,0.030314,0.1347,0.0541,0.0,0.1888
관리(요구사항,관리(요구사항,5,5,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.1888,0.0,0.0,0.1888
데이터베이스,데이터베이스,20,8,15,0.75,1.465,4,0.2,0.86,1,0.05,0.196,통상수용,1.465,0.056847,0.1542,0.0343,0.0,0.1885
복구,복구,40,8,8,0.2,0.391,11,0.275,1.182,21,0.525,2.056,계약·질의검토,2.056,4.2e-05,0.0,0.0101,0.1783,0.1884
발주기관과,발주기관,38,8,13,0.3421,0.668,6,0.1579,0.679,19,0.5,1.958,계약·질의검토,1.958,0.001963,0.0,0.0,0.1883,0.1883
보안성,보안성,21,9,7,0.3333,0.651,4,0.1905,0.819,10,0.4762,1.864,계약·질의검토,1.864,0.060689,0.0,0.0,0.1863,0.1863
요구사항은,요구사항,11,5,1,0.0909,0.178,1,0.0909,0.391,9,0.8182,3.203,계약·질의검토,3.203,9e-05,0.0718,0.0,0.1139,0.1857
협의,협의,64,10,21,0.3281,0.641,10,0.1562,0.672,33,0.5156,2.019,계약·질의검토,2.019,5e-06,0.0,0.0,0.1844,0.1844
제출하여야,제출하여야,54,10,36,0.6667,1.302,6,0.1111,0.478,12,0.2222,0.87,통상수용,1.302,0.037372,0.1839,0.0,0.0,0.1839
계약상대자,계약상대자,11,2,5,0.4545,0.888,0,0.0,0.0,6,0.5455,2.136,계약·질의검토,2.136,0.042243,0.0,0.0,0.1835,0.1835
없이,없이,50,10,8,0.16,0.313,20,0.4,1.719,22,0.44,1.723,계약·질의검토,1.723,2e-06,0.0,0.0,0.1834,0.1834
이상을,이상,6,6,0,0.0,0.0,1,0.1667,0.716,5,0.8333,3.263,계약·질의검토,3.263,0.003884,0.0,0.0,0.1832,0.1832
관리되어야,관리되어야,11,5,1,0.0909,0.178,9,0.8182,3.516,1,0.0909,0.356,견적반영,3.516,2.2e-05,0.017,0.1651,0.0,0.1821
변경관리,변경관리,14,6,11,0.7857,1.535,3,0.2143,0.921,0,0.0,0.0,통상수용,1.535,0.056887,0.1762,0.0056,0.0,0.1818
확인할,확인할,44,10,26,0.5909,1.154,10,0.2273,0.977,8,0.1818,0.712,통상수용,1.154,0.460982,0.1811,0.0,0.0,0.1811
책임,책임,26,9,15,0.5769,1.127,0,0.0,0.0,11,0.4231,1.656,계약·질의검토,1.656,0.009139,0.1776,0.0,0.0,0.1776
장애,장애,72,9,19,0.2639,0.516,22,0.3056,1.313,31,0.4306,1.686,계약·질의검토,1.686,3.5e-05,0.0,0.0,0.1775,0.1775
기존,기존,84,10,23,0.2738,0.535,23,0.2738,1.177,38,0.4524,1.771,계약·질의검토,1.771,4e-06,0.0,0.0,0.1774,0.1774
신원조사에,신원조사,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.1772,0.0,0.0,0.1772
사업수행계획서,사업수행계획서,21,9,13,0.619,1.209,3,0.1429,0.614,5,0.2381,0.932,통상수용,1.209,0.534655,0.1291,0.0,0.0467,0.1758
있어야,있어야,65,6,15,0.2308,0.451,30,0.4615,1.984,20,0.3077,1.205,견적반영,1.984,1e-06,0.0,0.0,0.1756,0.1756
정의하여야,정의하여야,9,5,7,0.7778,1.519,0,0.0,0.0,2,0.2222,0.87,통상수용,1.519,0.181865,0.1747,0.0,0.0,0.1747
개발보안,개발보안,11,8,5,0.4545,0.888,2,0.1818,0.781,4,0.3636,1.424,계약·질의검토,1.424,0.702628,0.1738,0.0,0.0,0.1738
제안서에,제안서,12,6,0,0.0,0.0,1,0.0833,0.358,11,0.9167,3.589,계약·질의검토,3.589,1e-06,0.0,0.0,0.1725,0.1725
성능을,성능,24,7,5,0.2083,0.407,11,0.4583,1.97,8,0.3333,1.305,견적반영,1.97,0.005479,0.0,0.0,0.1721,0.1721
제안,제안,52,9,8,0.1538,0.301,16,0.3077,1.322,28,0.5385,2.108,계약·질의검토,2.108,0.0,0.0,0.0,0.171,0.171
보안약점,보안약점,8,6,6,0.75,1.465,1,0.125,0.537,1,0.125,0.489,통상수용,1.465,0.399879,0.1693,0.0,0.0,0.1693
수집할,수집할,8,5,1,0.125,0.244,7,0.875,3.76,0,0.0,0.0,견적반영,3.76,8.6e-05,0.0,0.1671,0.0022,0.1693
검증하여야,검증하여야,11,6,8,0.7273,1.421,1,0.0909,0.391,2,0.1818,0.712,통상수용,1.421,0.3318,0.1684,0.0,0.0,0.1684
보안,보안,141,10,60,0.4255,0.831,31,0.2199,0.945,50,0.3546,1.388,계약·질의검토,1.388,0.011372,0.0427,0.0,0.1254,0.1681
제안서,제안서,24,8,7,0.2917,0.57,6,0.25,1.074,11,0.4583,1.794,계약·질의검토,1.794,0.042026,0.0,0.0,0.168,0.168
표준화에,표준화,3,2,2,0.6667,1.302,0,0.0,0.0,1,0.3333,1.305,계약·질의검토,1.305,0.633592,0.1679,0.0,0.0,0.1679
대해,대해,90,10,28,0.3111,0.608,22,0.2444,1.051,40,0.4444,1.74,계약·질의검토,1.74,1.8e-05,0.0,0.0,0.1673,0.1673
성능관리,성능관리,3,2,1,0.3333,0.651,1,0.3333,1.433,1,0.3333,1.305,견적반영,1.433,0.822805,0.0174,0.0,0.1496,0.167
매뉴얼,매뉴얼,25,8,13,0.52,1.016,4,0.16,0.688,8,0.32,1.253,계약·질의검토,1.253,0.604601,0.1661,0.0,0.0,0.1661
제품,제품,19,6,2,0.1053,0.206,1,0.0526,0.226,16,0.8421,3.297,계약·질의검토,3.297,0.0,0.0,0.0,0.1657,0.1657
제공되기로,제공되기,5,4,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.1651,0.0,0.0,0.1651
DB,DB,73,10,26,0.3562,0.696,26,0.3562,1.531,21,0.2877,1.126,견적반영,1.531,0.009694,0.0168,0.1478,0.0,0.1646
개발하여야,개발하여야,5,5,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.1646,0.0,0.0,0.1646
자원의,자원,5,4,2,0.4,0.781,2,0.4,1.719,1,0.2,0.783,견적반영,1.719,0.674271,0.0,0.164,0.0,0.164
준수하고,준수하고,10,5,9,0.9,1.758,1,0.1,0.43,0,0.0,0.0,통상수용,1.758,0.042395,0.1627,0.0,0.0,0.1627
시간은,시간,6,4,2,0.3333,0.651,0,0.0,0.0,4,0.6667,2.61,계약·질의검토,2.61,0.055561,0.0,0.0,0.1612,0.1612
부하테스트,부하테스트,3,3,0,0.0,0.0,1,0.3333,1.433,2,0.6667,2.61,계약·질의검토,2.61,0.160029,0.0,0.0259,0.1352,0.1611
모든,모든,136,10,46,0.3382,0.661,29,0.2132,0.916,61,0.4485,1.756,계약·질의검토,1.756,0.0,0.0,0.0,0.16,0.16
프로그램의,프로그램,3,3,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.1584,0.0,0.0,0.1584
제안요청서에,제안요청서,14,8,3,0.2143,0.419,2,0.1429,0.614,9,0.6429,2.517,계약·질의검토,2.517,0.003504,0.0,0.0,0.1582,0.1582
활용을,활용,22,8,12,0.5455,1.066,6,0.2727,1.172,4,0.1818,0.712,견적반영,1.172,0.710796,0.1555,0.0,0.0,0.1555
간의,간의,22,6,16,0.7273,1.421,4,0.1818,0.781,2,0.0909,0.356,통상수용,1.421,0.096309,0.1554,0.0,0.0,0.1554
표준을,표준,17,7,10,0.5882,1.149,4,0.2353,1.011,3,0.1765,0.691,통상수용,1.149,0.733385,0.1554,0.0,0.0,0.1554
업무,업무,123,10,46,0.374,0.731,40,0.3252,1.398,37,0.3008,1.178,견적반영,1.398,0.002972,0.0,0.1553,0.0,0.1553
전문인력을,전문인력,3,2,1,0.3333,0.651,2,0.6667,2.865,0,0.0,0.0,견적반영,2.865,0.183378,0.0,0.1548,0.0,0.1548
사용률을,사용률,6,5,0,0.0,0.0,3,0.5,2.149,3,0.5,1.958,견적반영,2.149,0.041571,0.0046,0.149,0.0,0.1536
외부에,외부,13,8,11,0.8462,1.653,1,0.0769,0.331,1,0.0769,0.301,통상수용,1.653,0.052413,0.1535,0.0,0.0,0.1535
상호,상호,48,10,26,0.5417,1.058,1,0.0208,0.09,21,0.4375,1.713,계약·질의검토,1.713,0.000271,0.1525,0.0,0.0,0.1525
품질보증의,품질보증,5,4,3,0.6,1.172,1,0.2,0.86,1,0.2,0.783,통상수용,1.172,0.923241,0.152,0.0,0.0,0.152
제안요청서,제안요청서,15,7,6,0.4,0.781,1,0.0667,0.287,8,0.5333,2.088,계약·질의검토,2.088,0.033537,0.0,0.0,0.1506,0.1506
접근성,접근성,9,6,6,0.6667,1.302,1,0.1111,0.478,2,0.2222,0.87,통상수용,1.302,0.594006,0.1504,0.0,0.0,0.1504
연계데이터,연계데이터,5,3,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.1504,0.0,0.0,0.1504
입력,입력,52,10,25,0.4808,0.939,7,0.1346,0.579,20,0.3846,1.506,계약·질의검토,1.506,0.050207,0.121,0.0,0.0287,0.1497
자료관리,자료관리,3,2,3,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.238141,0.1493,0.0,0.0,0.1493
학습이,학습,4,3,0,0.0,0.0,3,0.75,3.223,1,0.25,0.979,견적반영,3.223,0.035481,0.0,0.1492,0.0,0.1492
비정기적인,비정기적인,6,5,6,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.056182,0.1485,0.0,0.0,0.1485
공사와,공사,31,2,9,0.2903,0.567,2,0.0645,0.277,20,0.6452,2.526,계약·질의검토,2.526,2e-06,0.0,0.0,0.1481,0.1481
목표시스템,목표시스템,9,4,6,0.6667,1.302,1,0.1111,0.478,2,0.2222,0.87,통상수용,1.302,0.594006,0.1471,0.0,0.0,0.1471
기록,기록,49,10,28,0.5714,1.116,12,0.2449,1.052,9,0.1837,0.719,통상수용,1.116,0.488237,0.1417,0.0049,0.0,0.1466
예상되는,예상되,12,8,11,0.9167,1.791,0,0.0,0.0,1,0.0833,0.326,통상수용,1.791,0.017167,0.1463,0.0,0.0,0.1463
S/W는,S/W,7,3,1,0.1429,0.279,0,0.0,0.0,6,0.8571,3.356,계약·질의검토,3.356,0.001161,0.0,0.0,0.1461,0.1461
대화,대화,15,6,2,0.1333,0.26,8,0.5333,2.292,5,0.3333,1.305,견적반영,2.292,0.005107,0.0,0.1349,0.0107,0.1456
관리를,관리,24,9,10,0.4167,0.814,10,0.4167,1.791,4,0.1667,0.653,견적반영,1.791,0.09159,0.1209,0.0246,0.0,0.1455
기능의,기능,10,7,4,0.4,0.781,3,0.3,1.289,3,0.3,1.175,견적반영,1.289,0.769944,0.118,0.0274,0.0,0.1454
모니터링하는,모니터링하,3,3,0,0.0,0.0,2,0.6667,2.865,1,0.3333,1.305,견적반영,2.865,0.132095,0.0,0.1432,0.0,0.1432
설치,설치,44,9,11,0.25,0.488,11,0.25,1.074,22,0.5,1.958,계약·질의검토,1.958,0.000196,0.0,0.0137,0.128,0.1417
리스크,리스크,14,8,9,0.6429,1.256,2,0.1429,0.614,3,0.2143,0.839,통상수용,1.256,0.587637,0.1414,0.0,0.0,0.1414
방안을,방안,111,10,57,0.5135,1.003,17,0.1532,0.658,37,0.3333,1.305,계약·질의검토,1.305,0.040175,0.1321,0.0078,0.0,0.1399
조회,조회,100,10,46,0.46,0.899,30,0.3,1.289,24,0.24,0.94,견적반영,1.289,0.237136,0.1399,0.0,0.0,0.1399
로그인을,로그인,4,3,4,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.147302,0.1396,0.0,0.0,0.1396
처리를,처리,19,6,2,0.1053,0.206,8,0.4211,1.81,9,0.4737,1.855,계약·질의검토,1.855,0.001626,0.0,0.1289,0.0104,0.1393
조직,조직,45,10,23,0.5111,0.998,7,0.1556,0.669,15,0.3333,1.305,계약·질의검토,1.305,0.311304,0.1391,0.0,0.0,0.1391
업로드,업로드,39,9,15,0.3846,0.751,8,0.2051,0.882,16,0.4103,1.606,계약·질의검토,1.606,0.07265,0.0904,0.0,0.0485,0.1389
