단어,어간근사,총건수,문서수,통상수용_건수,통상수용_비율,통상수용_lift,견적반영_건수,견적반영_비율,견적반영_lift,계약·질의검토_건수,계약·질의검토_비율,계약·질의검토_lift,최대lift_라벨,최대lift,chi2_p,모델기여_통상수용,모델기여_견적반영,모델기여_계약·질의검토,모델기여_합
분산,분산,10,3,0,0.0,0.0,5,0.5,2.149,5,0.5,1.958,견적반영,2.149,0.004874,0.0,0.0,0.0,0
상황,상황,10,7,4,0.4,0.781,4,0.4,1.719,2,0.2,0.783,견적반영,1.719,0.452685,0.0,0.0,0.0,0
생성하고,생성하고,10,5,5,0.5,0.977,4,0.4,1.719,1,0.1,0.392,견적반영,1.719,0.337047,0.0,0.0,0.0,0
선택할,선택할,10,4,2,0.2,0.391,5,0.5,2.149,3,0.3,1.175,견적반영,2.149,0.077904,0.0,0.0,0.0,0
속도,속도,10,5,2,0.2,0.391,3,0.3,1.289,5,0.5,1.958,계약·질의검토,1.958,0.10614,0.0,0.0,0.0,0
속성,속성,10,5,3,0.3,0.586,5,0.5,2.149,2,0.2,0.783,견적반영,2.149,0.127905,0.0,0.0,0.0,0
스케줄링,스케줄링,10,3,0,0.0,0.0,3,0.3,1.289,7,0.7,2.741,계약·질의검토,2.741,0.001363,0.0,0.0,0.0,0
스트리밍,스트리밍,10,6,1,0.1,0.195,2,0.2,0.86,7,0.7,2.741,계약·질의검토,2.741,0.00366,0.0,0.0,0.0,0
시스템이,시스템,10,6,0,0.0,0.0,2,0.2,0.86,8,0.8,3.132,계약·질의검토,3.132,0.000208,0.0,0.0,0.0,0
실적,실적,10,7,7,0.7,1.367,3,0.3,1.289,0,0.0,0.0,통상수용,1.367,0.175728,0.0,0.0,0.0,0
아니라,아니라,10,6,5,0.5,0.977,2,0.2,0.86,3,0.3,1.175,계약·질의검토,1.175,0.93805,0.0,0.0,0.0,0
예상,예상,10,5,4,0.4,0.781,2,0.2,0.86,4,0.4,1.566,계약·질의검토,1.566,0.570869,0.0,0.0,0.0,0
용역,용역,10,6,5,0.5,0.977,3,0.3,1.289,2,0.2,0.783,견적반영,1.289,0.85163,0.0,0.0,0.0,0
운용,운용,10,4,2,0.2,0.391,3,0.3,1.289,5,0.5,1.958,계약·질의검토,1.958,0.10614,0.0,0.0,0.0,0
위치,위치,10,5,7,0.7,1.367,2,0.2,0.86,1,0.1,0.392,통상수용,1.367,0.42718,0.0,0.0,0.0,0
인력의,인력,10,8,5,0.5,0.977,2,0.2,0.86,3,0.3,1.175,계약·질의검토,1.175,0.93805,0.0,0.0,0.0,0
일부,일부,10,4,6,0.6,1.172,2,0.2,0.86,2,0.2,0.783,통상수용,1.172,0.85163,0.0,0.0,0.0,0
일체를,일체,10,6,2,0.2,0.391,3,0.3,1.289,5,0.5,1.958,계약·질의검토,1.958,0.10614,0.0,0.0,0.0,0
있게,있게,10,6,5,0.5,0.977,0,0.0,0.0,5,0.5,1.958,계약·질의검토,1.958,0.09428,0.0,0.0,0.0,0
장비는,장비,10,4,2,0.2,0.391,2,0.2,0.86,6,0.6,2.349,계약·질의검토,2.349,0.035658,0.0,0.0,0.0,0
적정성,적정성,10,5,4,0.4,0.781,4,0.4,1.719,2,0.2,0.783,견적반영,1.719,0.452685,0.0,0.0,0.0,0
전까지,전까지,10,6,5,0.5,0.977,1,0.1,0.43,4,0.4,1.566,계약·질의검토,1.566,0.450418,0.0,0.0,0.0,0
전원,전원,10,4,0,0.0,0.0,0,0.0,0.0,10,1.0,3.915,계약·질의검토,3.915,0.0,0.0,0.0,0.0,0
제공을,제공,10,6,2,0.2,0.391,2,0.2,0.86,6,0.6,2.349,계약·질의검토,2.349,0.035658,0.0,0.0,0.0,0
제시하여,제시하여,10,8,9,0.9,1.758,1,0.1,0.43,0,0.0,0.0,통상수용,1.758,0.042395,0.0,0.0,0.0,0
제조사,제조사,10,5,1,0.1,0.195,1,0.1,0.43,8,0.8,3.132,계약·질의검토,3.132,0.000361,0.0,0.0,0.0,0
제출하고,제출하고,10,5,3,0.3,0.586,3,0.3,1.289,4,0.4,1.566,계약·질의검토,1.566,0.384594,0.0,0.0,0.0,0
제출한,제출한,10,5,3,0.3,0.586,1,0.1,0.43,6,0.6,2.349,계약·질의검토,2.349,0.041761,0.0,0.0,0.0,0
조사,조사,10,6,4,0.4,0.781,2,0.2,0.86,4,0.4,1.566,계약·질의검토,1.566,0.570869,0.0,0.0,0.0,0
조정할,조정할,10,2,3,0.3,0.586,4,0.4,1.719,3,0.3,1.175,견적반영,1.719,0.335921,0.0,0.0,0.0,0
종속되지,종속되지,10,5,4,0.4,0.781,3,0.3,1.289,3,0.3,1.175,견적반영,1.289,0.769944,0.0,0.0,0.0,0
준비,준비,10,4,3,0.3,0.586,3,0.3,1.289,4,0.4,1.566,계약·질의검토,1.566,0.384594,0.0,0.0,0.0,0
증설,증설,10,5,0,0.0,0.0,2,0.2,0.86,8,0.8,3.132,계약·질의검토,3.132,0.000208,0.0,0.0,0.0,0
지침을,지침,10,6,7,0.7,1.367,0,0.0,0.0,3,0.3,1.175,통상수용,1.367,0.20912,0.0,0.0,0.0,0
질의에,질의,10,5,0,0.0,0.0,3,0.3,1.289,7,0.7,2.741,계약·질의검토,2.741,0.001363,0.0,0.0,0.0,0
징후,징후,10,5,0,0.0,0.0,3,0.3,1.289,7,0.7,2.741,계약·질의검토,2.741,0.001363,0.0,0.0,0.0,0
초과,초과,10,4,3,0.3,0.586,3,0.3,1.289,4,0.4,1.566,계약·질의검토,1.566,0.384594,0.0,0.0,0.0,0
최소화할,최소화할,10,5,1,0.1,0.195,4,0.4,1.719,5,0.5,1.958,계약·질의검토,1.958,0.031198,0.0,0.0,0.0,0
최적,최적,10,6,3,0.3,0.586,3,0.3,1.289,4,0.4,1.566,계약·질의검토,1.566,0.384594,0.0,0.0,0.0,0
특성,특성,10,5,2,0.2,0.391,4,0.4,1.719,4,0.4,1.566,견적반영,1.719,0.137725,0.0,0.0,0.0,0
프로토콜,프로토콜,10,4,4,0.4,0.781,2,0.2,0.86,4,0.4,1.566,계약·질의검토,1.566,0.570869,0.0,0.0,0.0,0
필요할,필요할,10,6,5,0.5,0.977,0,0.0,0.0,5,0.5,1.958,계약·질의검토,1.958,0.09428,0.0,0.0,0.0,0
하이브리드,하이브리드,10,6,1,0.1,0.195,8,0.8,3.438,1,0.1,0.392,견적반영,3.438,0.000107,0.0,0.0,0.0,0
한하여,한하여,10,6,2,0.2,0.391,3,0.3,1.289,5,0.5,1.958,계약·질의검토,1.958,0.10614,0.0,0.0,0.0,0
항목별,항목별,10,5,2,0.2,0.391,5,0.5,2.149,3,0.3,1.175,견적반영,2.149,0.077904,0.0,0.0,0.0,0
행정기관,행정기관,10,8,6,0.6,1.172,2,0.2,0.86,2,0.2,0.783,통상수용,1.172,0.85163,0.0,0.0,0.0,0
회수,회수,10,5,4,0.4,0.781,2,0.2,0.86,4,0.4,1.566,계약·질의검토,1.566,0.570869,0.0,0.0,0.0,0
후에도,후에,10,6,7,0.7,1.367,1,0.1,0.43,2,0.2,0.783,통상수용,1.367,0.452685,0.0,0.0,0.0,0
11,11,9,4,2,0.2222,0.434,3,0.3333,1.433,4,0.4444,1.74,계약·질의검토,1.74,0.206275,0.0,0.0,0.0,0
1식,1식,9,4,0,0.0,0.0,3,0.3333,1.433,6,0.6667,2.61,계약·질의검토,2.61,0.003953,0.0,0.0,0.0,0
Disk,Disk,9,4,0,0.0,0.0,1,0.1111,0.478,8,0.8889,3.48,계약·질의검토,3.48,5.8e-05,0.0,0.0,0.0,0
IP,IP,9,5,3,0.3333,0.651,3,0.3333,1.433,3,0.3333,1.305,견적반영,1.433,0.554912,0.0,0.0,0.0,0
Memory,Memory,9,4,0,0.0,0.0,3,0.3333,1.433,6,0.6667,2.61,계약·질의검토,2.61,0.003953,0.0,0.0,0.0,0
PII,PII,9,1,0,0.0,0.0,5,0.5556,2.388,4,0.4444,1.74,견적반영,2.388,0.006752,0.0,0.0,0.0,0
SQL,SQL,9,6,1,0.1111,0.217,7,0.7778,3.343,1,0.1111,0.435,견적반영,3.343,0.000501,0.0,0.0,0.0,0
WEB,WEB,9,4,3,0.3333,0.651,4,0.4444,1.91,2,0.2222,0.87,견적반영,1.91,0.30776,0.0,0.0,0.0,0
결과물,결과물,9,7,6,0.6667,1.302,0,0.0,0.0,3,0.3333,1.305,계약·질의검토,1.305,0.252076,0.0,0.0,0.0,0
경우에도,경우에,9,6,4,0.4444,0.868,0,0.0,0.0,5,0.5556,2.175,계약·질의검토,2.175,0.067166,0.0,0.0,0.0,0
공격,공격,9,3,2,0.2222,0.434,2,0.2222,0.955,5,0.5556,2.175,계약·질의검토,2.175,0.09538,0.0,0.0,0.0,0
공공기관의,공공기관,9,5,8,0.8889,1.736,0,0.0,0.0,1,0.1111,0.435,통상수용,1.736,0.067919,0.0,0.0,0.0,0
과업수행,과업수행,9,6,7,0.7778,1.519,0,0.0,0.0,2,0.2222,0.87,통상수용,1.519,0.181865,0.0,0.0,0.0,0
구성하여,구성하여,9,6,5,0.5556,1.085,3,0.3333,1.433,1,0.1111,0.435,견적반영,1.433,0.556978,0.0,0.0,0.0,0
구체적,구체적,9,5,1,0.1111,0.217,3,0.3333,1.433,5,0.5556,2.175,계약·질의검토,2.175,0.03969,0.0,0.0,0.0,0
그에,그에,9,4,4,0.4444,0.868,0,0.0,0.0,5,0.5556,2.175,계약·질의검토,2.175,0.067166,0.0,0.0,0.0,0
내·외부,내·외부,9,5,4,0.4444,0.868,1,0.1111,0.478,4,0.4444,1.74,계약·질의검토,1.74,0.381053,0.0,0.0,0.0,0
노출,노출,9,6,2,0.2222,0.434,6,0.6667,2.865,1,0.1111,0.435,견적반영,2.865,0.008282,0.0,0.0,0.0,0
논리,논리,9,5,6,0.6667,1.302,2,0.2222,0.955,1,0.1111,0.435,통상수용,1.302,0.556978,0.0,0.0,0.0,0
다음과,다음,9,4,3,0.3333,0.651,1,0.1111,0.478,5,0.5556,2.175,계약·질의검토,2.175,0.113661,0.0,0.0,0.0,0
대규모,대규모,9,5,0,0.0,0.0,3,0.3333,1.433,6,0.6667,2.61,계약·질의검토,2.61,0.003953,0.0,0.0,0.0,0
대량,대량,9,5,2,0.2222,0.434,1,0.1111,0.478,6,0.6667,2.61,계약·질의검토,2.61,0.017549,0.0,0.0,0.0,0
대비하여,대비하여,9,5,3,0.3333,0.651,0,0.0,0.0,6,0.6667,2.61,계약·질의검토,2.61,0.012912,0.0,0.0,0.0,0
대비한,대비한,9,4,2,0.2222,0.434,3,0.3333,1.433,4,0.4444,1.74,계약·질의검토,1.74,0.206275,0.0,0.0,0.0,0
대상에,대상,9,5,1,0.1111,0.217,4,0.4444,1.91,4,0.4444,1.74,견적반영,1.91,0.052997,0.0,0.0,0.0,0
대상을,대상,9,4,1,0.1111,0.217,3,0.3333,1.433,5,0.5556,2.175,계약·질의검토,2.175,0.03969,0.0,0.0,0.0,0
동영상,동영상,9,4,4,0.4444,0.868,3,0.3333,1.433,2,0.2222,0.87,견적반영,1.433,0.772719,0.0,0.0,0.0,0
따른다,따른다,9,2,3,0.3333,0.651,2,0.2222,0.955,4,0.4444,1.74,계약·질의검토,1.74,0.398129,0.0,0.0,0.0,0
리포트,리포트,9,3,2,0.2222,0.434,6,0.6667,2.865,1,0.1111,0.435,견적반영,2.865,0.008282,0.0,0.0,0.0,0
마련하여,마련하여,9,5,2,0.2222,0.434,1,0.1111,0.478,6,0.6667,2.61,계약·질의검토,2.61,0.017549,0.0,0.0,0.0,0
만족도,만족,9,4,3,0.3333,0.651,2,0.2222,0.955,4,0.4444,1.74,계약·질의검토,1.74,0.398129,0.0,0.0,0.0,0
모듈,모듈,9,6,3,0.3333,0.651,3,0.3333,1.433,3,0.3333,1.305,견적반영,1.433,0.554912,0.0,0.0,0.0,0
물론,물론,9,7,8,0.8889,1.736,1,0.1111,0.478,0,0.0,0.0,통상수용,1.736,0.066477,0.0,0.0,0.0,0
미리보기,미리보기,9,4,3,0.3333,0.651,6,0.6667,2.865,0,0.0,0.0,견적반영,2.865,0.005964,0.0,0.0,0.0,0
민감정보,민감정보,9,5,1,0.1111,0.217,3,0.3333,1.433,5,0.5556,2.175,계약·질의검토,2.175,0.03969,0.0,0.0,0.0,0
반복,반복,9,5,2,0.2222,0.434,2,0.2222,0.955,5,0.5556,2.175,계약·질의검토,2.175,0.09538,0.0,0.0,0.0,0
번호,번호,9,5,3,0.3333,0.651,4,0.4444,1.91,2,0.2222,0.87,견적반영,1.91,0.30776,0.0,0.0,0.0,0
부서,부서,9,5,5,0.5556,1.085,3,0.3333,1.433,1,0.1111,0.435,견적반영,1.433,0.556978,0.0,0.0,0.0,0
분쟁,분쟁,9,5,5,0.5556,1.085,1,0.1111,0.478,3,0.3333,1.305,계약·질의검토,1.305,0.66127,0.0,0.0,0.0,0
비상,비상,9,5,1,0.1111,0.217,2,0.2222,0.955,6,0.6667,2.61,계약·질의검토,2.61,0.011828,0.0,0.0,0.0,0
산정,산정,9,5,2,0.2222,0.434,3,0.3333,1.433,4,0.4444,1.74,계약·질의검토,1.74,0.206275,0.0,0.0,0.0,0
상태로,상태,9,3,0,0.0,0.0,4,0.4444,1.91,5,0.5556,2.175,계약·질의검토,2.175,0.00819,0.0,0.0,0.0,0
서류,서류,9,6,5,0.5556,1.085,1,0.1111,0.478,3,0.3333,1.305,계약·질의검토,1.305,0.66127,0.0,0.0,0.0,0
서면으로,서면,9,5,2,0.2222,0.434,2,0.2222,0.955,5,0.5556,2.175,계약·질의검토,2.175,0.09538,0.0,0.0,0.0,0
서빙,서빙,9,5,0,0.0,0.0,6,0.6667,2.865,3,0.3333,1.305,견적반영,2.865,0.002215,0.0,0.0,0.0,0
소속,소속,9,4,6,0.6667,1.302,0,0.0,0.0,3,0.3333,1.305,계약·질의검토,1.305,0.252076,0.0,0.0,0.0,0
엔진,엔진,9,3,2,0.2222,0.434,2,0.2222,0.955,5,0.5556,2.175,계약·질의검토,2.175,0.09538,0.0,0.0,0.0,0
용역사업,용역사업,9,6,5,0.5556,1.085,1,0.1111,0.478,3,0.3333,1.305,계약·질의검토,1.305,0.66127,0.0,0.0,0.0,0
원천,원천,9,3,1,0.1111,0.217,6,0.6667,2.865,2,0.2222,0.87,견적반영,2.865,0.005953,0.0,0.0,0.0,0
원칙,원칙,9,7,3,0.3333,0.651,3,0.3333,1.433,3,0.3333,1.305,견적반영,1.433,0.554912,0.0,0.0,0.0,0
원하는,원하,9,6,5,0.5556,1.085,3,0.3333,1.433,1,0.1111,0.435,견적반영,1.433,0.556978,0.0,0.0,0.0,0
웹사이트,웹사이트,9,6,8,0.8889,1.736,0,0.0,0.0,1,0.1111,0.435,통상수용,1.736,0.067919,0.0,0.0,0.0,0
위협,위협,9,4,1,0.1111,0.217,3,0.3333,1.433,5,0.5556,2.175,계약·질의검토,2.175,0.03969,0.0,0.0,0.0,0
유연한,유연한,9,5,4,0.4444,0.868,4,0.4444,1.91,1,0.1111,0.435,견적반영,1.91,0.276199,0.0,0.0,0.0,0
유형별로,유형별,9,5,3,0.3333,0.651,3,0.3333,1.433,3,0.3333,1.305,견적반영,1.433,0.554912,0.0,0.0,0.0,0
의거,의거,9,5,6,0.6667,1.302,1,0.1111,0.478,2,0.2222,0.87,통상수용,1.302,0.594006,0.0,0.0,0.0,0
의사소통,의사소통,9,6,7,0.7778,1.519,0,0.0,0.0,2,0.2222,0.87,통상수용,1.519,0.181865,0.0,0.0,0.0,0
이해,이해,9,6,5,0.5556,1.085,2,0.2222,0.955,2,0.2222,0.87,통상수용,1.085,0.962087,0.0,0.0,0.0,0
임계값,임계값,9,2,1,0.1111,0.217,5,0.5556,2.388,3,0.3333,1.305,견적반영,2.388,0.028158,0.0,0.0,0.0,0
있어,있어,9,6,0,0.0,0.0,2,0.2222,0.955,7,0.7778,3.045,계약·질의검토,3.045,0.000759,0.0,0.0,0.0,0
작성하고,작성하고,9,8,5,0.5556,1.085,3,0.3333,1.433,1,0.1111,0.435,견적반영,1.433,0.556978,0.0,0.0,0.0,0
적용을,적용,9,8,0,0.0,0.0,2,0.2222,0.955,7,0.7778,3.045,계약·질의검토,3.045,0.000759,0.0,0.0,0.0,0
접근통제,접근통제,9,6,1,0.1111,0.217,4,0.4444,1.91,4,0.4444,1.74,견적반영,1.91,0.052997,0.0,0.0,0.0,0
정보는,정보,9,6,5,0.5556,1.085,2,0.2222,0.955,2,0.2222,0.87,통상수용,1.085,0.962087,0.0,0.0,0.0,0
제목,제목,9,4,2,0.2222,0.434,3,0.3333,1.433,4,0.4444,1.74,계약·질의검토,1.74,0.206275,0.0,0.0,0.0,0
제조사의,제조사,9,6,4,0.4444,0.868,0,0.0,0.0,5,0.5556,2.175,계약·질의검토,2.175,0.067166,0.0,0.0,0.0,0
중복,중복,9,6,4,0.4444,0.868,4,0.4444,1.91,1,0.1111,0.435,견적반영,1.91,0.276199,0.0,0.0,0.0,0
중요,중요,9,6,5,0.5556,1.085,2,0.2222,0.955,2,0.2222,0.87,통상수용,1.085,0.962087,0.0,0.0,0.0,0
지속,지속,9,4,0,0.0,0.0,4,0.4444,1.91,5,0.5556,2.175,계약·질의검토,2.175,0.00819,0.0,0.0,0.0,0
지정된,지정된,9,6,4,0.4444,0.868,4,0.4444,1.91,1,0.1111,0.435,견적반영,1.91,0.276199,0.0,0.0,0.0,0
직관적인,직관적인,9,6,6,0.6667,1.302,2,0.2222,0.955,1,0.1111,0.435,통상수용,1.302,0.556978,0.0,0.0,0.0,0
진흥법,진흥법,9,4,4,0.4444,0.868,3,0.3333,1.433,2,0.2222,0.87,견적반영,1.433,0.772719,0.0,0.0,0.0,0
참고하여,참고하여,9,5,4,0.4444,0.868,1,0.1111,0.478,4,0.4444,1.74,계약·질의검토,1.74,0.381053,0.0,0.0,0.0,0
채널,채널,9,4,1,0.1111,0.217,3,0.3333,1.433,5,0.5556,2.175,계약·질의검토,2.175,0.03969,0.0,0.0,0.0,0
코드를,코드,9,4,2,0.2222,0.434,3,0.3333,1.433,4,0.4444,1.74,계약·질의검토,1.74,0.206275,0.0,0.0,0.0,0
크레딧,크레딧,9,1,4,0.4444,0.868,4,0.4444,1.91,1,0.1111,0.435,견적반영,1.91,0.276199,0.0,0.0,0.0,0
클릭,클릭,9,5,6,0.6667,1.302,2,0.2222,0.955,1,0.1111,0.435,통상수용,1.302,0.556978,0.0,0.0,0.0,0
파운데이션,파운데이션,9,1,1,0.1111,0.217,0,0.0,0.0,8,0.8889,3.48,계약·질의검토,3.48,6.6e-05,0.0,0.0,0.0,0
파일의,파일,9,6,1,0.1111,0.217,4,0.4444,1.91,4,0.4444,1.74,견적반영,1.91,0.052997,0.0,0.0,0.0,0
패턴,패턴,9,3,0,0.0,0.0,6,0.6667,2.865,3,0.3333,1.305,견적반영,2.865,0.002215,0.0,0.0,0.0,0
폐쇄망,폐쇄망,9,6,1,0.1111,0.217,3,0.3333,1.433,5,0.5556,2.175,계약·질의검토,2.175,0.03969,0.0,0.0,0.0,0
표시할,표시할,9,3,2,0.2222,0.434,5,0.5556,2.388,2,0.2222,0.87,견적반영,2.388,0.060784,0.0,0.0,0.0,0
프로세스를,프로세스,9,4,2,0.2222,0.434,4,0.4444,1.91,3,0.3333,1.305,견적반영,1.91,0.17751,0.0,0.0,0.0,0
하나의,하나,9,5,1,0.1111,0.217,5,0.5556,2.388,3,0.3333,1.305,견적반영,2.388,0.028158,0.0,0.0,0.0,0
하에,하에,9,6,3,0.3333,0.651,2,0.2222,0.955,4,0.4444,1.74,계약·질의검토,1.74,0.398129,0.0,0.0,0.0,0
하여,하여,9,4,3,0.3333,0.651,2,0.2222,0.955,4,0.4444,1.74,계약·질의검토,1.74,0.398129,0.0,0.0,0.0,0
행위,행위,9,5,0,0.0,0.0,3,0.3333,1.433,6,0.6667,2.61,계약·질의검토,2.61,0.003953,0.0,0.0,0.0,0
형식의,형식,9,5,0,0.0,0.0,4,0.4444,1.91,5,0.5556,2.175,계약·질의검토,2.175,0.00819,0.0,0.0,0.0,0
호환성을,호환성,9,6,3,0.3333,0.651,2,0.2222,0.955,4,0.4444,1.74,계약·질의검토,1.74,0.398129,0.0,0.0,0.0,0
1개월,1개월,8,4,1,0.125,0.244,3,0.375,1.612,4,0.5,1.958,계약·질의검토,1.958,0.08406,0.0,0.0,0.0,0
DB에,DB,8,4,3,0.375,0.733,1,0.125,0.537,4,0.5,1.958,계약·질의검토,1.958,0.2742,0.0,0.0,0.0,0
HWP,HWP,8,5,1,0.125,0.244,2,0.25,1.074,5,0.625,2.447,계약·질의검토,2.447,0.035329,0.0,0.0,0.0,0
MCP,MCP,8,5,1,0.125,0.244,5,0.625,2.686,2,0.25,0.979,견적반영,2.686,0.021294,0.0,0.0,0.0,0
Port,Port,8,2,0,0.0,0.0,3,0.375,1.612,5,0.625,2.447,계약·질의검토,2.447,0.01031,0.0,0.0,0.0,0
VM,VM,8,3,1,0.125,0.244,4,0.5,2.149,3,0.375,1.468,견적반영,2.149,0.071005,0.0,0.0,0.0,0
가동,가동,8,5,2,0.25,0.488,1,0.125,0.537,5,0.625,2.447,계약·질의검토,2.447,0.055042,0.0,0.0,0.0,0
검토를,검토,8,5,3,0.375,0.733,3,0.375,1.612,2,0.25,0.979,견적반영,1.612,0.606885,0.0,0.0,0.0,0
고유,고유,8,4,4,0.5,0.977,4,0.5,2.149,0,0.0,0.0,견적반영,2.149,0.103227,0.0,0.0,0.0,0
고정,고정,8,3,4,0.5,0.977,2,0.25,1.074,2,0.25,0.979,견적반영,1.074,0.993244,0.0,0.0,0.0,0
공간,공간,8,4,2,0.25,0.488,5,0.625,2.686,1,0.125,0.489,견적반영,2.686,0.03086,0.0,0.0,0.0,0
공급,공급,8,4,0,0.0,0.0,2,0.25,1.074,6,0.75,2.936,계약·질의검토,2.936,0.002645,0.0,0.0,0.0,0
공동,공동,8,4,3,0.375,0.733,1,0.125,0.537,4,0.5,1.958,계약·질의검토,1.958,0.2742,0.0,0.0,0.0,0
과정을,과정,8,5,1,0.125,0.244,5,0.625,2.686,2,0.25,0.979,견적반영,2.686,0.021294,0.0,0.0,0.0,0
구성하는,구성하,8,4,4,0.5,0.977,3,0.375,1.612,1,0.125,0.489,견적반영,1.612,0.537401,0.0,0.0,0.0,0
구축·운영,구축·운영,8,6,6,0.75,1.465,1,0.125,0.537,1,0.125,0.489,통상수용,1.465,0.399879,0.0,0.0,0.0,0
구현할,구현할,8,2,1,0.125,0.244,4,0.5,2.149,3,0.375,1.468,견적반영,2.149,0.071005,0.0,0.0,0.0,0
근거를,근거,8,5,0,0.0,0.0,4,0.5,2.149,4,0.5,1.958,견적반영,2.149,0.014268,0.0,0.0,0.0,0
기본값,기본값,8,4,3,0.375,0.733,1,0.125,0.537,4,0.5,1.958,계약·질의검토,1.958,0.2742,0.0,0.0,0.0,0
긴급,긴급,8,5,3,0.375,0.733,4,0.5,2.149,1,0.125,0.489,견적반영,2.149,0.190987,0.0,0.0,0.0,0
내용과,내용,8,6,2,0.25,0.488,4,0.5,2.149,2,0.25,0.979,견적반영,2.149,0.168592,0.0,0.0,0.0,0
높이기,높이기,8,4,3,0.375,0.733,4,0.5,2.149,1,0.125,0.489,견적반영,2.149,0.190987,0.0,0.0,0.0,0
다만,다만,8,7,5,0.625,1.221,0,0.0,0.0,3,0.375,1.468,계약·질의검토,1.468,0.282066,0.0,0.0,0.0,0
다음의,다음,8,7,1,0.125,0.244,1,0.125,0.537,6,0.75,2.936,계약·질의검토,2.936,0.005272,0.0,0.0,0.0,0
동등,동등,8,5,0,0.0,0.0,2,0.25,1.074,6,0.75,2.936,계약·질의검토,2.936,0.002645,0.0,0.0,0.0,0
등)로,등),8,4,0,0.0,0.0,5,0.625,2.686,3,0.375,1.468,견적반영,2.686,0.00701,0.0,0.0,0.0,0
등)은,등),8,7,5,0.625,1.221,2,0.25,1.074,1,0.125,0.489,통상수용,1.221,0.687501,0.0,0.0,0.0,0
맞춰,맞춰,8,5,0,0.0,0.0,2,0.25,1.074,6,0.75,2.936,계약·질의검토,2.936,0.002645,0.0,0.0,0.0,0
목적에,목적,8,5,2,0.25,0.488,3,0.375,1.612,3,0.375,1.468,견적반영,1.612,0.326991,0.0,0.0,0.0,0
미치지,미치지,8,6,3,0.375,0.733,2,0.25,1.074,3,0.375,1.468,계약·질의검토,1.468,0.684637,0.0,0.0,0.0,0
방지하고,방지하고,8,4,6,0.75,1.465,1,0.125,0.537,1,0.125,0.489,통상수용,1.465,0.399879,0.0,0.0,0.0,0
백신,백신,8,5,2,0.25,0.488,4,0.5,2.149,2,0.25,0.979,견적반영,2.149,0.168592,0.0,0.0,0.0,0
변화,변화,8,7,7,0.875,1.709,0,0.0,0.0,1,0.125,0.489,통상수용,1.709,0.105746,0.0,0.0,0.0,0
분석하고,분석하고,8,4,4,0.5,0.977,0,0.0,0.0,4,0.5,1.958,계약·질의검토,1.958,0.151819,0.0,0.0,0.0,0
분야별,분야별,8,7,6,0.75,1.465,1,0.125,0.537,1,0.125,0.489,통상수용,1.465,0.399879,0.0,0.0,0.0,0
브라우저,브라우저,8,5,3,0.375,0.733,3,0.375,1.612,2,0.25,0.979,견적반영,1.612,0.606885,0.0,0.0,0.0,0
생산되는,생산되,8,5,7,0.875,1.709,0,0.0,0.0,1,0.125,0.489,통상수용,1.709,0.105746,0.0,0.0,0.0,0
서비스별,서비스별,8,3,1,0.125,0.244,5,0.625,2.686,2,0.25,0.979,견적반영,2.686,0.021294,0.0,0.0,0.0,0
송수신,송수신,8,4,3,0.375,0.733,2,0.25,1.074,3,0.375,1.468,계약·질의검토,1.468,0.684637,0.0,0.0,0.0,0
수동,수동,8,3,0,0.0,0.0,6,0.75,3.223,2,0.25,0.979,견적반영,3.223,0.001223,0.0,0.0,0.0,0
시각화하여,시각화하여,8,4,2,0.25,0.488,5,0.625,2.686,1,0.125,0.489,견적반영,2.686,0.03086,0.0,0.0,0.0,0
시행령,시행령,8,5,3,0.375,0.733,3,0.375,1.612,2,0.25,0.979,견적반영,1.612,0.606885,0.0,0.0,0.0,0
신속한,신속한,8,5,4,0.5,0.977,2,0.25,1.074,2,0.25,0.979,견적반영,1.074,0.993244,0.0,0.0,0.0,0
아래,아래,8,6,2,0.25,0.488,4,0.5,2.149,2,0.25,0.979,견적반영,2.149,0.168592,0.0,0.0,0.0,0
안정성을,안정성,8,3,1,0.125,0.244,4,0.5,2.149,3,0.375,1.468,견적반영,2.149,0.071005,0.0,0.0,0.0,0
안정적,안정적,8,6,4,0.5,0.977,2,0.25,1.074,2,0.25,0.979,견적반영,1.074,0.993244,0.0,0.0,0.0,0
업그레이드가,업그레이드,8,4,2,0.25,0.488,1,0.125,0.537,5,0.625,2.447,계약·질의검토,2.447,0.055042,0.0,0.0,0.0,0
업무분장,업무분장,8,4,5,0.625,1.221,0,0.0,0.0,3,0.375,1.468,계약·질의검토,1.468,0.282066,0.0,0.0,0.0,0
업무의,업무,8,5,4,0.5,0.977,0,0.0,0.0,4,0.5,1.958,계약·질의검토,1.958,0.151819,0.0,0.0,0.0,0
에러,에러,8,3,2,0.25,0.488,2,0.25,1.074,4,0.5,1.958,계약·질의검토,1.958,0.225158,0.0,0.0,0.0,0
역할을,역할,8,6,4,0.5,0.977,1,0.125,0.537,3,0.375,1.468,계약·질의검토,1.468,0.651726,0.0,0.0,0.0,0
완료보고서,완료보고서,8,8,5,0.625,1.221,1,0.125,0.537,2,0.25,0.979,통상수용,1.221,0.739071,0.0,0.0,0.0,0
완전,완전,8,5,3,0.375,0.733,1,0.125,0.537,4,0.5,1.958,계약·질의검토,1.958,0.2742,0.0,0.0,0.0,0
